"Cust_ID";"Contract_date";"Package";"Gender";"Age";"Marital_Status";"Living_Condition";"Graduation";"Job_Type";"Income";"Peak_minute_09";"Weekend_minute_09";"Offpeak_minute_09";"Offpeak_nr_09";"Peak_nr_09";"Weekend_nr_09";"Selfnet_minute_09";"Fixed_minute_09";"Othermob_minute_09";"Voicemail_nr_09";"Voicemail_minute_09";"SMS_09";"Peak_minute_10";"Weekend_minute_10";"Offpeak_minute_10";"Offpeak_nr_10";"Peak_nr_10";"Weekend_nr_10";"Selfnet_minute_10";"Fixed_minute_10";"Othermob_minute_10";"Voicemail_nr_10";"Voicemail_minute_10";"SMS_10";"Peak_minute_11";"Weekend_minute_11";"Offpeak_minute_11";"Offpeak_nr_11";"Peak_nr_11";"Weekend_nr_11";"Selfnet_minute_11";"Fixed_minute_11";"Othermob_minute_11";"Voicemail_nr_11";"Voicemail_minute_11";"SMS_11";"Peak_minute_12";"Weekend_minute_12";"Offpeak_minute_12";"Offpeak_nr_12";"Peak_nr_12";"Weekend_nr_12";"Selfnet_minute_12";"Fixed_minute_12";"Othermob_minute_12";"Voicemail_nr_12";"Voicemail_minute_12";"SMS_12"
"ID0120197";"10/03/2004";"PACK_B";"Male";23.0;"Married";"Owner";"University";"Leader";"15_30k";1.07;0.0;0.0;0.0;3.0;0.0;0.0;0.85;0.22;3.0;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;2.0;0.4;0.0;0.0;2.0;0.4;0.0;4.88;6.3;0.0;0.0;4.0;4.0;2.5;0.9;3.72;6.0;7.12;0.0
"ID0128114";"12/27/2004";"PACK_B";"Female";32.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";23.8;10.13;6.52;22.0;46.0;35.0;11.78;0.0;28.67;73.0;40.45;30.0;36.5;1.38;16.93;18.0;68.0;17.0;12.65;1.18;40.98;76.0;54.82;27.0;37.32;6.37;4.68;9.0;43.0;18.0;17.73;0.13;30.5;49.0;48.37;21.0;41.47;3.75;10.45;16.0;73.0;33.0;13.93;2.0;40.53;63.0;56.47;44.0
"ID0150402";"10/05/2004";"PACK_B";"Female";39.0;"Married";"Owner";"University";"Public_Employee";"30_60k";0.78;0.0;0.0;0.0;7.0;0.0;0.78;0.0;0.0;7.0;0.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.57;0.0;0.95;6.0;24.0;0.0;26.52;0.0;0.0;23.0;26.52;12.0
"ID0151108";"11/29/2004";"PACK_B";"Female";44.0;"Divorced";"Owner";"Highschool";"Public_Employee";"30_60k";17.53;0.0;32.05;19.0;11.0;0.0;42.35;0.0;7.23;19.0;49.58;11.0;31.82;20.78;12.38;35.0;22.0;23.0;47.22;2.82;14.95;46.0;64.8;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0151153";"12/13/2004";"PACK_B";"Female";21.0;"Single";"Family_Member";"Highschool";"Public_Employee";"30_60k";0.0;0.2;0.03;2.0;1.0;10.0;0.0;0.07;0.17;10.0;0.23;3.0;1.03;0.08;0.2;8.0;3.0;6.0;1.03;0.02;0.27;14.0;1.32;3.0;0.83;0.45;0.43;17.0;15.0;27.0;0.0;0.83;0.73;44.0;1.57;6.0;1.05;3.85;1.33;19.0;30.0;25.0;1.8;0.95;4.02;77.0;6.77;7.0
"ID0152101";"01/27/2005";"PACK_X";"Male";25.0;"Single";"Owner";"Highschool";"Labourer";"15_30k";1.57;1.35;0.0;0.0;5.0;8.0;0.17;0.0;2.75;8.0;2.92;5.0;0.62;0.82;1.25;3.0;11.0;5.0;2.68;0.0;0.0;18.0;2.68;1.0;0.22;0.27;0.4;5.0;3.0;22.0;0.47;0.0;0.42;7.0;0.88;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0152747";"04/10/2005";"PACK_Z";"Male";43.0;"Married";"Owner";"Highschool";"Leader";"30_60k";3.35;13.22;35.47;17.0;1.0;18.0;2.23;19.75;21.98;33.0;48.48;1.0;0.0;9.83;32.38;16.0;0.0;10.0;6.53;31.25;4.47;26.0;42.25;1.0;0.0;14.15;25.6;14.0;2.0;11.0;9.28;22.1;8.37;25.0;39.75;2.0;0.67;51.1;66.4;24.0;1.0;34.0;8.67;73.43;39.48;48.0;121.58;14.0
"ID0153450";"04/26/2006";"PACK_A";"Male";15.0;"Single";"Family_Member";"University";"Public_Employee";"Over_60k";9.9;1.77;3.75;32.0;54.0;29.0;0.63;1.08;13.7;32.0;14.48;81.0;13.35;4.9;5.58;25.0;59.0;43.0;2.27;0.92;25.43;42.0;27.65;97.0;10.15;0.57;0.35;17.0;28.0;17.0;7.65;1.07;8.73;27.0;10.12;62.0;7.27;2.78;0.17;54.0;31.0;56.0;7.38;0.5;8.02;24.0;12.23;112.0
"ID0153721";"05/13/2005";"PACK_Z";"Female";38.0;"Married";"Owner";"Primary_School";"Public_Employee";"Below_15k";6.23;35.95;58.48;22.0;6.0;32.0;35.48;13.98;57.53;65.0;107.0;0.0;6.63;62.43;38.2;29.0;13.0;32.0;37.15;15.38;58.43;74.0;110.97;5.0;9.3;12.7;58.32;21.0;18.0;13.0;33.25;8.62;38.38;45.0;80.25;9.0;12.78;24.28;55.18;45.0;20.0;39.0;43.5;32.35;25.32;86.0;101.17;32.0
"ID0154393";"07/24/2005";"PACK_X";"Male";30.0;"Married";"Owner";"Highschool";"Executive";"30_60k";78.23;27.55;37.63;20.0;71.0;20.0;10.02;9.87;123.27;110.0;143.42;1.0;86.73;41.55;28.97;19.0;76.0;32.0;19.65;16.0;121.6;127.0;157.25;0.0;65.18;12.65;8.62;8.0;49.0;15.0;6.05;0.72;79.68;72.0;86.45;0.0;27.97;3.72;18.75;12.0;26.0;3.0;1.7;1.6;44.3;39.0;47.6;0.0
"ID0154974";"09/04/2005";"PACK_Z";"Male";25.0;"Single";"Owner";"Highschool";"Labourer";"15_30k";0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;1.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0155549";"12/01/2005";"PACK_B";"Female";22.0;"Single";"Owner";"Highschool";"Public_Employee";"30_60k";19.23;143.95;85.48;36.0;21.0;43.0;152.08;4.65;91.93;94.0;248.67;6.0;1.67;37.82;60.67;22.0;6.0;10.0;85.23;0.0;14.92;34.0;100.15;4.0;18.2;42.17;84.77;32.0;20.0;21.0;91.77;0.0;53.37;64.0;145.13;9.0;18.07;51.1;70.52;29.0;34.0;30.0;109.82;1.35;20.55;47.0;131.48;24.0
"ID0155903";"08/02/2005";"PACK_X";"Male";54.0;"Married";"Owner";"Highschool";"Executive";"Below_15k";0.08;2.37;0.63;9.0;3.0;8.0;1.3;0.08;1.7;10.0;3.02;9.0;3.08;10.67;0.58;1.0;6.0;8.0;0.38;10.75;3.2;14.0;14.33;1.0;12.52;4.78;0.0;0.0;8.0;2.0;0.0;16.05;1.25;10.0;17.3;0.0;18.55;4.1;0.82;16.0;9.0;7.0;1.7;11.37;10.4;15.0;23.47;17.0
"ID0250885";"01/05/2005";"PACK_B";"Male";37.0;"Married";"Owner";"University";"Public_Employee";"30_60k";0.0;0.05;0.0;0.0;0.0;1.0;0.05;0.0;0.0;1.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0252143";"04/05/2005";"PACK_Z";"Male";61.0;"Married";"Owner";"Highschool";"Executive";"15_30k";1.87;0.0;0.0;0.0;3.0;1.0;1.63;0.0;0.0;3.0;1.87;1.0;8.67;0.55;0.55;2.0;7.0;1.0;8.23;1.53;0.0;8.0;9.77;2.0;1.02;0.0;0.0;0.0;13.0;2.0;0.0;0.0;0.97;2.0;1.02;16.0;2.12;0.0;0.0;1.0;6.0;1.0;2.12;0.53;0.0;5.0;2.65;6.0
"ID0253116";"05/12/2005";"PACK_Z";"Male";27.0;"Married";"Family_Member";"University";"Leader";"30_60k";19.78;17.77;16.62;12.0;26.0;11.0;18.67;15.27;14.85;54.0;61.58;3.0;49.52;20.22;42.13;17.0;48.0;14.0;26.68;56.12;37.58;84.0;120.38;5.0;65.32;34.68;19.28;26.0;50.0;17.0;86.9;15.33;46.7;86.0;113.57;5.0;87.6;19.73;64.88;32.0;65.0;26.0;57.53;51.05;97.18;123.0;199.33;13.0
"ID0254238";"07/25/2005";"PACK_Z";"Female";49.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";6.58;0.6;21.1;14.0;16.0;6.0;28.35;0.0;0.0;27.0;28.35;13.0;0.3;1.05;7.62;26.0;13.0;12.0;8.97;0.0;0.0;11.0;8.87;45.0;0.37;0.82;0.02;14.0;24.0;16.0;1.18;0.0;0.0;4.0;1.18;52.0;3.97;0.0;2.2;9.0;20.0;14.0;5.37;0.97;1.8;27.0;8.13;25.0
"ID0256367";"11/17/2005";"PACK_X";"Female";43.0;"Divorced";"Owner";"University";"Public_Employee";"15_30k";38.23;0.0;12.78;2.0;9.0;0.0;4.57;0.58;45.78;11.0;51.02;0.0;61.55;31.5;9.38;2.0;19.0;7.0;4.57;22.93;74.93;28.0;102.43;0.0;28.13;27.67;18.77;3.0;8.0;5.0;2.22;0.0;72.35;14.0;74.07;0.0;106.05;35.23;18.12;8.0;37.0;12.0;4.1;46.52;99.53;52.0;149.9;0.0
"ID0350861";"03/08/2005";"PACK_X";"Male";59.0;"Married";"Owner";"Highschool";"Executive";"30_60k";34.87;7.82;9.72;3.0;30.0;9.0;7.47;13.6;31.33;42.0;52.4;0.0;19.07;1.28;2.92;3.0;26.0;4.0;1.98;6.43;14.85;33.0;23.27;0.0;34.33;5.87;1.3;1.0;32.0;8.0;1.32;12.42;26.13;40.0;41.5;1.0;29.37;6.67;9.83;9.0;26.0;8.0;0.63;5.92;33.48;33.0;40.03;5.0
"ID0351014";"11/14/2004";"PACK_B";"Female";35.0;"Single";"Other";"Highschool";"Public_Employee";"15_30k";6.5;5.52;3.1;17.0;40.0;25.0;9.57;3.17;2.38;42.0;15.12;40.0;7.27;0.07;2.65;12.0;17.0;5.0;2.07;1.32;6.6;23.0;9.98;11.0;23.92;4.08;12.88;20.0;53.0;13.0;8.58;2.65;28.2;65.0;39.43;20.0;16.9;4.27;3.43;9.0;64.0;19.0;8.13;5.28;10.67;46.0;24.6;39.0
"ID0353276";"07/02/2005";"PACK_B";"Male";20.0;"Single";"Family_Member";"University";"Leader";"30_60k";20.28;4.52;1.18;14.0;23.0;6.0;4.95;1.27;19.77;42.0;25.98;1.0;11.77;16.6;1.22;6.0;14.0;16.0;7.93;0.0;21.65;34.0;29.58;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0354489";"08/02/2005";"PACK_X";"Female";26.0;"Divorced";"Owner";"Highschool";"Public_Employee";"Below_15k";46.3;6.87;14.42;16.0;44.0;6.0;19.5;3.63;44.45;44.0;67.58;22.0;37.17;5.08;12.17;12.0;47.0;23.0;22.15;22.98;9.28;38.0;54.42;44.0;3.3;0.75;1.92;18.0;31.0;6.0;2.77;0.0;3.2;8.0;5.97;47.0;22.85;2.97;6.9;17.0;24.0;20.0;10.13;0.87;21.72;8.0;32.72;43.0
"ID0355000";"10/20/2005";"PACK_X";"Female";42.0;"Married";"Owner";"Highschool";"Executive";"Over_60k";107.67;8.33;5.58;6.0;112.0;18.0;12.45;13.13;87.1;128.0;121.37;7.0;129.42;15.92;16.6;7.0;132.0;23.0;19.15;35.18;107.6;162.0;161.93;0.0;164.33;16.12;6.73;10.0;189.0;24.0;26.6;35.7;124.88;221.0;186.68;0.0;118.33;7.32;7.0;10.0;155.0;13.0;34.2;17.17;85.83;184.0;137.2;0.0
"ID0355453";"10/15/2005";"PACK_E";"Male";29.0;"Married";"Owner";"Highschool";"Labourer";"30_60k";0.1;0.0;0.0;0.0;1.0;0.0;0.1;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0450765";"03/29/2005";"PACK_Z";"Female";23.0;"Married";"Owner";"Highschool";"Labourer";"15_30k";15.3;0.0;6.02;16.0;38.0;4.0;14.08;0.0;13.37;22.0;27.45;42.0;14.7;2.05;4.85;20.0;45.0;11.0;22.2;0.95;5.57;39.0;28.72;59.0;18.73;8.73;9.48;13.0;50.0;24.0;20.53;4.63;12.37;42.0;37.53;46.0;12.93;2.15;7.28;16.0;46.0;15.0;16.68;0.0;6.22;29.0;22.8;55.0
"ID0452554";"04/09/2005";"PACK_X";"Female";34.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";25.77;17.52;29.57;17.0;38.0;11.0;48.07;3.65;20.95;63.0;72.77;1.0;14.32;9.57;0.32;2.0;18.0;7.0;17.6;0.0;6.23;24.0;23.17;0.0;22.33;17.55;10.02;5.0;20.0;15.0;29.68;4.93;2.97;32.0;39.65;0.0;15.12;10.2;9.3;4.0;9.0;5.0;2.13;9.63;8.27;14.0;25.72;0.0
"ID0453117";"05/03/2005";"PACK_Z";"Male";22.0;"In_Relationship";"Owner";"Highschool";"Executive";"30_60k";21.1;6.82;4.72;5.0;25.0;16.0;13.45;0.22;24.13;45.0;37.8;6.0;0.23;21.45;7.45;10.0;3.0;34.0;24.98;0.0;18.48;54.0;43.47;3.0;2.82;24.58;2.32;2.0;6.0;19.0;3.6;0.42;26.77;29.0;30.78;0.0;17.73;23.73;27.03;33.0;24.0;36.0;12.52;1.6;83.27;70.0;97.38;37.0
"ID0453933";"05/19/2005";"PACK_Z";"Female";20.0;"Single";"Family_Member";"University";"Public_Employee";"30_60k";10.78;3.47;12.53;5.0;8.0;5.0;3.82;0.0;25.12;15.0;28.93;7.0;4.85;2.53;25.35;5.0;13.0;6.0;4.62;0.0;50.37;25.0;54.98;9.0;7.82;0.77;37.88;15.0;24.0;6.0;46.02;0.0;6.93;36.0;52.95;22.0;10.83;1.38;25.15;2.0;26.0;3.0;31.62;0.0;8.53;32.0;40.3;5.0
"ID0454817";"07/11/2005";"PACK_X";"Female";22.0;"Single";"Family_Member";"Highschool";"Labourer";"30_60k";47.95;12.5;10.15;22.0;74.0;24.0;22.78;1.72;46.1;52.0;70.6;68.0;68.33;15.5;6.53;34.0;72.0;39.0;25.67;2.8;61.9;61.0;90.37;84.0;43.72;7.95;5.88;39.0;49.0;40.0;20.1;0.58;36.87;49.0;57.55;79.0;43.77;6.08;6.0;32.0;49.0;21.0;4.97;4.42;43.22;41.0;52.6;60.0
"ID0454912";"07/13/2005";"PACK_Z";"Male";26.0;"Married";"Owner";"Highschool";"Public_Employee";"Below_15k";12.13;0.0;0.0;0.0;3.0;0.0;0.0;3.97;8.17;3.0;12.13;0.0;0.52;0.72;0.0;0.0;1.0;1.0;0.72;0.52;0.0;2.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.13;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.13;1.0;3.13;0.0
"ID0455234";"09/11/2005";"PACK_C";"Male";30.0;"Married";"Owner";"Highschool";"Public_Employee";"30_60k";24.13;77.32;59.0;120.0;123.0;102.0;200.68;2.3;6.95;39.0;203.2;340.0;57.18;104.4;57.98;105.0;157.0;152.0;340.25;9.58;7.62;48.0;361.93;464.0;154.33;93.97;4.8;83.0;275.0;141.0;303.42;0.3;47.95;48.0;350.97;557.0;64.45;52.73;11.47;113.0;226.0;91.0;248.7;6.22;30.53;59.0;285.13;553.0
"ID0455339";"08/27/2005";"PACK_X";"Male";56.0;"Married";"Owner";"University";"Executive";"Over_60k";95.27;13.25;18.07;25.0;116.0;20.0;4.73;6.1;115.75;160.0;126.58;1.0;91.57;24.12;16.57;15.0;113.0;25.0;2.02;8.78;121.45;153.0;132.25;0.0;66.27;10.4;27.62;21.0;84.0;11.0;3.53;5.22;95.53;116.0;104.28;0.0;58.05;5.35;10.58;13.0;73.0;6.0;1.85;0.57;67.9;87.0;70.32;0.0
"ID0456960";"11/20/2005";"PACK_X";"Female";65.0;"Married";"Owner";"Highschool";"Labourer";"30_60k";9.58;0.0;0.7;4.0;12.0;0.0;0.92;0.0;9.37;16.0;10.28;0.0;2.58;3.67;5.88;4.0;4.0;5.0;0.03;1.83;10.27;13.0;12.13;0.0;0.88;0.6;0.0;0.0;6.0;1.0;0.28;0.0;1.2;5.0;1.48;2.0;2.27;0.32;0.0;0.0;6.0;2.0;0.72;0.0;1.87;5.0;2.58;2.0
"ID0529810";"04/21/2006";"PACK_X";"Female";49.0;"Married";"Owner";"Highschool";"Executive";"15_30k";15.82;34.17;10.75;20.0;31.0;33.0;18.2;1.73;40.8;84.0;60.73;0.0;11.07;29.63;7.77;37.0;26.0;44.0;10.9;0.0;37.57;83.0;48.47;24.0;7.32;14.23;17.55;14.0;7.0;14.0;6.23;1.62;25.58;31.0;29.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0550043";"11/04/2004";"PACK_B";"Female";38.0;"Married";"Owner";"Primary_School";"Labourer";"Below_15k";5.22;2.7;3.43;6.0;8.0;8.0;1.23;1.4;8.55;21.0;11.35;1.0;0.28;3.1;1.83;3.0;7.0;5.0;0.55;0.12;4.55;13.0;5.22;2.0;2.65;1.13;0.0;0.0;7.0;2.0;0.45;2.2;0.0;7.0;2.65;0.0;0.23;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;0.23;1.0
"ID0550938";"11/09/2004";"PACK_B";"Male";29.0;"Married";"Owner";"University";"Executive";"15_30k";79.78;30.43;68.2;80.0;164.0;51.0;135.8;0.95;38.38;225.0;178.42;70.0;84.83;96.22;69.23;89.0;161.0;111.0;156.37;7.83;86.08;321.0;250.28;40.0;55.05;49.43;72.87;72.0;101.0;79.0;118.58;5.0;45.4;213.0;172.28;29.0;68.08;31.8;34.45;46.0;106.0;65.0;101.53;1.15;29.93;161.0;132.62;45.0
"ID0551293";"02/21/2005";"PACK_B";"Female";55.0;"Widow";"Owner";"Highschool";"Public_Employee";"Below_15k";32.2;60.05;85.88;52.0;33.0;29.0;9.57;31.97;133.15;114.0;178.13;0.0;35.08;73.27;106.67;53.0;41.0;29.0;50.6;11.18;153.23;118.0;215.02;5.0;14.32;9.05;58.4;39.0;19.0;9.0;21.27;21.65;38.85;66.0;81.77;1.0;20.17;35.55;73.43;34.0;38.0;52.0;64.57;9.13;52.67;95.0;129.15;29.0
"ID0552791";"05/09/2005";"PACK_Z";"Male";21.0;"Single";"Family_Member";"Highschool";"Public_Employee";"30_60k";0.0;0.22;0.0;0.0;0.0;3.0;0.12;0.0;0.1;3.0;0.22;0.0;0.0;0.0;0.38;1.0;0.0;0.0;0.0;0.0;0.38;1.0;0.38;0.0;0.0;0.13;0.0;0.0;0.0;2.0;0.13;0.0;0.0;2.0;0.13;0.0;9.05;8.45;2.28;9.0;19.0;15.0;19.07;0.4;7.07;16.0;26.53;35.0
"ID0553202";"06/20/2005";"PACK_Z";"Female";24.0;"Single";"Family_Member";"Highschool";"Labourer";"15_30k";0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.15;0.0;0.0;0.0;1.0;0.0;0.15;0.0;0.0;1.0;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0553763";"06/03/2005";"PACK_Z";"Male";50.0;"Married";"Owner";"Highschool";"Leader";"15_30k";1.9;12.42;5.28;8.0;11.0;12.0;8.32;10.28;4.73;23.0;23.33;20.0;6.03;8.05;5.9;11.0;4.0;12.0;4.68;4.72;12.45;23.0;21.85;7.0;1.42;2.17;14.45;11.0;7.0;2.0;2.38;0.0;16.33;18.0;18.72;5.0;0.35;4.63;15.27;20.0;3.0;23.0;7.85;1.37;18.07;37.0;27.28;23.0
"ID0553767";"06/15/2005";"PACK_X";"Female";30.0;"Married";"Owner";"Highschool";"Public_Employee";"30_60k";1.35;0.02;0.0;0.0;1.0;1.0;0.0;1.35;0.02;2.0;1.37;0.0;0.53;3.92;0.83;1.0;2.0;1.0;3.92;0.9;0.47;4.0;5.28;0.0;6.78;0.0;6.88;1.0;8.0;0.0;11.22;0.63;1.82;6.0;13.67;3.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
